Sexo;Categoria;Tempo Final;Ritmo;Distancia
Masculino;40-44;0:28:58.96;05:47;5
Feminino;25-34;0:29:00.44;05:48;5
Feminino;45-49;0:29:00.51;05:48;5
Feminino;25-34;0:29:02.01;05:49;5
Masculino;50-54;0:29:02.47;05:49;5
Masculino;40-44;0:29:02.55;05:49;5
Masculino;50-54;0:29:03.89;05:49;5
Feminino;25-34;0:29:04.09;05:49;5
Feminino;25-34;0:29:05.03;05:49;5
Feminino;50-54;0:29:06.22;05:49;5
Masculino;55-59;0:29:08.56;05:50;5
Masculino;18-24;0:29:08.79;05:50;5
Masculino;25-34;0:29:08.92;05:50;5
Masculino;55-59;0:29:09.74;05:50;5
Masculino;25-34;0:29:10.37;05:50;5
Masculino;18-24;0:29:10.76;05:50;5
Masculino;45-49;0:29:11.92;05:50;5
Masculino;55-59;0:29:12.68;05:50;5
Masculino;45-49;0:29:14.75;05:51;5
Feminino;25-34;0:29:18.85;05:52;5
Masculino;50-54;0:29:18.93;05:52;5
Masculino;25-34;0:29:20.69;05:52;5
Masculino;65-69;0:29:21.75;05:52;5
Masculino;FF;0:29:22.05;05:52;5
Feminino;25-34;0:29:22.18;05:52;5
Masculino;45-49;0:29:22.31;05:52;5
Masculino;25-34;0:29:23.25;05:53;5
Feminino;25-34;0:29:24.30;05:53;5
Masculino;25-34;0:29:24.83;05:53;5
Masculino;60-64;0:29:25.43;05:53;5
Masculino;25-34;0:29:28.17;05:53;5
Masculino;35-39;0:29:28.80;05:53;5
Masculino;35-39;0:29:29.05;05:54;5
Feminino;35-39;0:29:29.89;05:54;5
Masculino;25-34;0:29:32.81;05:55;5
Masculino;18-24;0:29:33.34;05:55;5
Masculino;18-24;0:29:34.34;05:55;5
Feminino;18-24;0:29:36.14;05:55;5
Masculino;35-39;0:29:36.45;05:55;5
Feminino;40-44;0:29:36.86;05:55;5
Masculino;35-39;0:29:38.58;05:56;5
Masculino;25-34;0:29:39.22;05:56;5
Feminino;25-34;0:29:39.95;05:56;5
Masculino;35-39;0:29:40.86;05:56;5
Feminino;40-44;0:29:41.57;05:56;5
Feminino;50-54;0:29:41.84;05:56;5
